Date,Open,High,Low,Close,AdjClose,Volume
5/29/2019,2790.25,2792.03,2766.06,2783.02,2783.02,3701110000
5/30/2019,2786.94,2799,2776.74,2788.86,2788.86,3276030000
5/31/2019,2766.15,2768.98,2750.52,2752.06,2752.06,3982670000
6/3/2019,2751.53,2763.07,2728.81,2744.45,2744.45,3952360000
6/4/2019,2762.64,2804.49,2762.64,2803.27,2803.27,3814130000
6/5/2019,2818.09,2827.28,2800.92,2826.15,2826.15,3570760000
6/6/2019,2828.51,2852.1,2822.45,2843.49,2843.49,3445140000
6/7/2019,2852.87,2884.97,2852.87,2873.34,2873.34,3244380000
6/10/2019,2885.83,2904.77,2885.51,2886.73,2886.73,3209890000
6/11/2019,2903.27,2910.61,2878.53,2885.72,2885.72,3551000000
6/12/2019,2882.73,2888.57,2874.68,2879.84,2879.84,3039870000
6/13/2019,2886.24,2895.24,2881.99,2891.64,2891.64,3100640000
6/14/2019,2886.82,2894.45,2879.62,2886.98,2886.98,2992810000
6/17/2019,2889.75,2897.27,2887.3,2889.67,2889.67,2828400000
6/18/2019,2906.71,2930.79,2905.44,2917.75,2917.75,3441540000
6/19/2019,2920.55,2931.74,2911.43,2926.46,2926.46,3300220000
6/20/2019,2949.6,2958.06,2931.5,2954.18,2954.18,3943060000
6/21/2019,2952.71,2964.15,2946.87,2950.46,2950.46,5003540000
6/24/2019,2951.42,2954.92,2944.05,2945.35,2945.35,3136960000
6/25/2019,2945.78,2946.52,2916.01,2917.38,2917.38,3579430000
6/26/2019,2926.07,2932.59,2912.99,2913.78,2913.78,3511350000
6/27/2019,2919.66,2929.3,2918.57,2924.92,2924.92,3162500000
6/28/2019,2932.94,2943.98,2929.05,2941.76,2941.76,5422650000
7/1/2019,2971.41,2977.93,2952.22,2964.33,2964.33,3524860000
7/2/2019,2964.66,2973.21,2955.92,2973.01,2973.01,3224490000
7/3/2019,2978.08,2995.84,2977.96,2995.82,2995.82,1963570000
7/5/2019,2984.25,2994.03,2967.97,2990.41,2990.41,2434680000
7/8/2019,2979.77,2980.76,2970.09,2975.95,2975.95,2922360000
7/9/2019,2965.52,2981.9,2963.44,2979.63,2979.63,3033330000
7/10/2019,2989.3,3002.98,2984.62,2993.07,2993.07,3157800000
7/11/2019,2999.62,3002.33,2988.8,2999.91,2999.91,3155710000
7/12/2019,3003.36,3013.92,3001.87,3013.77,3013.77,2984140000
7/15/2019,3017.8,3017.8,3008.77,3014.3,3014.3,2876100000
7/16/2019,3012.13,3015.02,3001.15,3004.04,3004.04,3297030000
7/17/2019,3005.1,3005.26,2984.25,2984.42,2984.42,3185650000
7/18/2019,2978.87,2998.28,2973.09,2995.11,2995.11,3369820000
7/19/2019,3004.26,3006.02,2975.86,2976.61,2976.61,3285890000
7/22/2019,2981.93,2990.71,2976.65,2985.03,2985.03,3016200000
7/23/2019,2994.74,3005.9,2988.56,3005.47,3005.47,3333810000
7/24/2019,2998.77,3019.59,2996.82,3019.56,3019.56,3433220000
7/25/2019,3016.26,3016.31,2997.24,3003.67,3003.67,3657050000
7/26/2019,3013.25,3027.98,3012.59,3025.86,3025.86,3260170000
7/29/2019,3024.47,3025.61,3014.3,3020.97,3020.97,3224490000
7/30/2019,3007.66,3017.19,3000.94,3013.18,3013.18,3632770000
7/31/2019,3016.22,3017.4,2958.08,2980.38,2980.38,4626330000
8/1/2019,2980.32,3013.59,2945.23,2953.56,2953.56,4793810000
8/2/2019,2943.9,2945.5,2914.11,2932.05,2932.05,3882810000
8/5/2019,2898.07,2898.07,2822.12,2844.74,2844.74,4542850000
8/6/2019,2861.18,2884.4,2847.42,2881.77,2881.77,4156640000
8/7/2019,2858.65,2892.17,2825.71,2883.98,2883.98,4512720000
8/8/2019,2896.21,2938.72,2894.47,2938.09,2938.09,4118530000
8/9/2019,2930.51,2935.75,2900.15,2918.65,2918.65,3356850000
8/12/2019,2907.07,2907.58,2873.14,2882.7,2882.7,3328570000
8/13/2019,2880.72,2943.31,2877.05,2926.32,2926.32,3857190000
8/14/2019,2894.15,2894.15,2839.64,2840.6,2840.6,4325150000
8/15/2019,2846.2,2856.67,2825.51,2847.6,2847.6,4041720000
8/16/2019,2864.74,2893.63,2864.74,2888.68,2888.68,3524080000
8/19/2019,2913.48,2931,2913.48,2923.65,2923.65,3221050000
8/20/2019,2919.01,2923.63,2899.6,2900.51,2900.51,3067710000
8/21/2019,2922.04,2928.73,2917.91,2924.43,2924.43,3016540000
8/22/2019,2930.94,2939.08,2904.51,2922.95,2922.95,2893660000
8/23/2019,2911.07,2927.01,2834.97,2847.11,2847.11,3942520000
8/26/2019,2866.7,2879.27,2856,2878.38,2878.38,2859790000
8/27/2019,2893.14,2898.79,2860.59,2869.16,2869.16,3537490000
8/28/2019,2861.28,2890.03,2853.05,2887.94,2887.94,3102480000
8/29/2019,2910.37,2930.5,2905.67,2924.58,2924.58,3177150000
8/30/2019,2937.09,2940.43,2913.32,2926.46,2926.46,3009910000
9/3/2019,2909.01,2914.39,2891.85,2906.27,2906.27,3427830000
9/4/2019,2924.67,2938.84,2921.86,2937.78,2937.78,3167900000
9/5/2019,2960.6,2985.86,2960.6,2976,2976,3902600000
9/6/2019,2980.33,2985.03,2972.51,2978.71,2978.71,3209340000
9/9/2019,2988.43,2989.43,2969.39,2978.43,2978.43,4031120000
9/10/2019,2971.01,2979.39,2957.01,2979.39,2979.39,4393040000
9/11/2019,2981.41,3000.93,2975.31,3000.93,3000.93,3934370000
9/12/2019,3009.08,3020.74,3000.92,3009.57,3009.57,3796990000
9/13/2019,3012.21,3017.33,3002.9,3007.39,3007.39,3557010000
9/16/2019,2996.41,3002.19,2990.67,2997.96,2997.96,4285860000
9/17/2019,2995.67,3006.21,2993.73,3005.7,3005.7,3673250000
9/18/2019,3001.5,3007.83,2978.57,3006.73,3006.73,3458800000
9/19/2019,3010.36,3021.99,3003.16,3006.79,3006.79,3265660000
9/20/2019,3008.42,3016.37,2984.68,2992.07,2992.07,6103440000
9/23/2019,2983.5,2999.15,2982.23,2991.78,2991.78,3187250000
9/24/2019,3002.43,3007.98,2957.73,2966.6,2966.6,3872800000
9/25/2019,2968.35,2989.82,2952.86,2984.87,2984.87,3331200000
9/26/2019,2985.73,2987.28,2963.71,2977.62,2977.62,3084910000
9/27/2019,2985.47,2987.31,2945.53,2961.79,2961.79,3246480000
9/30/2019,2967.07,2983.85,2967.07,2976.74,2976.74,3249130000
10/1/2019,2983.69,2992.53,2938.7,2940.25,2940.25,3560750000
10/2/2019,2924.78,2924.78,2874.93,2887.61,2887.61,3914180000
10/3/2019,2885.38,2911.13,2855.94,2910.63,2910.63,3515130000
10/4/2019,2918.56,2953.74,2918.56,2952.01,2952.01,3005600000
10/7/2019,2944.23,2959.75,2935.68,2938.79,2938.79,2959050000
10/8/2019,2920.4,2925.47,2892.66,2893.06,2893.06,3370700000
10/9/2019,2911.1,2929.32,2907.41,2919.4,2919.4,2735350000
10/10/2019,2918.55,2948.46,2917.12,2938.13,2938.13,3234400000
10/11/2019,2963.07,2993.28,2963.07,2970.27,2970.27,3581320000
10/14/2019,2965.81,2972.84,2962.94,2966.15,2966.15,2559270000
10/15/2019,2973.61,3003.28,2973.61,2995.68,2995.68,3345090000
10/16/2019,2989.68,2997.54,2985.2,2989.69,2989.69,3230320000
10/17/2019,3000.77,3008.29,2991.79,2997.95,2997.95,3103470000
10/18/2019,2996.84,3000,2976.31,2986.2,2986.2,3268970000
10/21/2019,2996.48,3007.33,2995.35,3006.72,3006.72,3271960000
10/22/2019,3010.73,3014.57,2995.04,2995.99,2995.99,3527540000
10/23/2019,2994.01,3004.78,2991.21,3004.52,3004.52,3413600000
10/24/2019,3014.78,3016.07,3000.42,3010.29,3010.29,3696510000
10/25/2019,3003.32,3027.39,3001.94,3022.55,3022.55,3379060000
10/28/2019,3032.12,3044.08,3032.12,3039.42,3039.42,3524970000
10/29/2019,3035.39,3047.87,3034.81,3036.89,3036.89,3594430000
10/30/2019,3039.74,3050.1,3025.96,3046.77,3046.77,3779660000
10/31/2019,3046.9,3046.9,3023.19,3037.56,3037.56,4149310000
11/1/2019,3050.72,3066.95,3050.72,3066.91,3066.91,3956290000
11/4/2019,3078.96,3085.2,3074.87,3078.27,3078.27,4178040000
11/5/2019,3080.8,3083.95,3072.15,3074.62,3074.62,4490590000
11/6/2019,3075.1,3078.34,3065.89,3076.78,3076.78,4465510000
11/7/2019,3087.02,3097.77,3080.23,3085.18,3085.18,4151990000
11/8/2019,3081.25,3093.09,3073.58,3093.08,3093.08,3508160000
11/11/2019,3080.33,3088.33,3075.82,3087.01,3087.01,3041120000
11/12/2019,3089.28,3102.61,3084.73,3091.84,3091.84,3495560000
11/13/2019,3084.18,3098.06,3078.8,3094.04,3094.04,3513720000
11/14/2019,3090.75,3098.2,3083.26,3096.63,3096.63,3282090000
11/15/2019,3107.92,3120.46,3104.6,3120.46,3120.46,3359800000
11/18/2019,3117.91,3124.17,3112.06,3122.03,3122.03,3440140000
11/19/2019,3127.45,3127.64,3113.47,3120.18,3120.18,3613670000
11/20/2019,3114.66,3118.97,3091.41,3108.46,3108.46,4041010000
11/21/2019,3108.49,3110.11,3094.55,3103.54,3103.54,3744010000
11/22/2019,3111.41,3112.87,3099.26,3110.29,3110.29,3235270000
11/25/2019,3117.44,3133.83,3117.44,3133.64,3133.64,3514310000
11/26/2019,3134.85,3142.69,3131,3140.52,3140.52,4600450000
11/27/2019,3145.49,3154.26,3143.41,3153.63,3153.63,3035470000
11/29/2019,3147.18,3150.3,3139.34,3140.98,3140.98,1743420000
12/2/2019,3143.85,3144.31,3110.78,3113.87,3113.87,3285750000
12/3/2019,3087.41,3094.97,3070.33,3093.2,3093.2,3671580000
12/4/2019,3103.5,3119.38,3102.53,3112.76,3112.76,3702980000
12/5/2019,3119.21,3119.45,3103.76,3117.43,3117.43,3360480000
12/6/2019,3134.62,3150.6,3134.62,3145.91,3145.91,3483310000
12/9/2019,3141.86,3148.87,3135.46,3135.96,3135.96,3400470000
12/10/2019,3135.36,3142.12,3126.09,3132.52,3132.52,3346310000
12/11/2019,3135.75,3143.98,3133.21,3141.63,3141.63,3257650000
